ticker,record_date,assets,liabilities,cash,shares,long_term_debt,revenue,net_income,ebit,operating_cash_flow,assets_yoy,net_income_yoy,operating_cash_flow_yoy
SPCE,2025-11-06,853543000.0,627646000.0,128789000.0,63200245.0,310000.0,,-499648000.0,-519054000.0,-747652000.0,-0.16015404763708674,0.13580627850818353,0.3092046174006508
NNOX,2024-12-31,210002000.0,20883000.0,39304000.0,63762001.0,3800000.0,39671000.0,280654000.0,-299634000.0,-169537000.0,-0.039543009769126634,0.8324703064824104,0.1826607410054269
INGN,2025-10-31,307009000.0,109834000.0,106476000.0,27148482.0,80000.0,626171000.0,10311000.0,-47931000.0,-33589000.0,0.002733757495786682,16.87878787878788,-2.1501343484102104
ALEC,2025-10-31,335285000.0,277573000.0,76503000.0,109151472.0,10000000.0,37490000.0,,-267020000.0,-542857000.0,-0.3502518298602969,,0.18605648541546344
LFMD,2025-11-14,65983378.0,62615226.0,36228305.0,48135885.0,15900000.0,26817836.0,-17769589.0,-4773982.0,38044753.0,-0.09063604009938159,0.22433001333101332,-0.2967897775952137
TRUE,2025-11-03,148687000.0,34506000.0,103186000.0,88940050.0,,,,-62829000.0,-8916000.0,-0.11247007980707818,,0.08342361863488625
ARCT,2025-11-05,282343000.0,57784000.0,180360000.0,28412537.0,13300000.0,,,-101523000.0,-193822000.0,-0.23825724260361414,,0.02386357903233944
NUAI,2025-11-13,23427891.0,10486922.0,14164499.0,53449171.0,6680635.0,1599074.0,-29024870.0,-18137375.0,-20040814.0,1.5512666169870848,-0.9111400966215504,-2.0309937613195057
LODE,2025-10-27,176291084.0,54600835.0,31712352.0,51264247.0,0.0,2698426.0,-43210585.0,-57508456.0,-47171130.0,0.7001282326058152,-2.2105172068685945,-0.9221024986002785
ALTG,2025-11-04,1431000000.0,1428100000.0,14100000.0,32235283.0,309300000.0,,-148400000.0,48400000.0,35200000.0,-0.07623781550577755,-0.4894366197183099,-1.0407239819004526
MIST,2025-11-12,87750000.0,67249000.0,46685000.0,85169344.0,56206000.0,,,-102297000.0,-105584000.0,0.060987110971392644,,-0.6480799818223131
ASYS,2025-12-03,92873000.0,39488000.0,17904000.0,14356797.0,294000.0,395107000.0,,-89484000.0,19430000.0,-0.2216020048108756,,-0.1996545417598049
ACH,2025-10-24,4036226000.0,4465733000.0,32837000.0,77346594.0,1025967000.0,,-795545000.0,-26608000.0,-41003000.0,-0.20566778226439705,-7.092203030683228,-2.878312374301059
SGMT,2025-09-30,128401000.0,7180000.0,32496000.0,30674855.0,,,,-104173000.0,-114425000.0,-0.2653354312687741,,-0.07659737034796728
PRLD,2025-11-10,94755000.0,36221000.0,47532000.0,62865270.0,,,,-206630000.0,-276846000.0,-0.5195466991177365,,0.033149104012465916
RANI,2025-09-30,10139000.0,22112000.0,4144000.0,,13750000.0,,,-70055000.0,-76598000.0,-0.7671336701883326,,0.29182966357438245
